Longitude (x);Latitude (y);Station Name;Climate ID;Date/Time (UTC);Year;Month;Day;Time (UTC);Temp (C);Temp Flag;Dew Point Temp (C);Dew Point Temp Flag;Rel Hum (%);Rel Hum Flag;Precip. Amount (mm);Precip. Amount Flag;Wind Dir (10s deg);Wind Dir Flag;Wind Spd (km/h);Wind Spd Flag;Visibility (km);Visibility Flag;Stn Press (kPa);Stn Press Flag;Hmdx;Hmdx Flag;Wind Chill;Wind Chill Flag;Weather
-61.68;56.55;NAIN;8502799;2017-02-01 00:00;2017;2;1;00:00;-21.6;;-27.2;;60;;0.0;;29;;35;;;;100.32;;;;-36;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 01:00;2017;2;1;01:00;-21.9;;-27.5;;61;;0.0;;29;;32;;;;100.35;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 02:00;2017;2;1;02:00;-21.9;;-27.7;;59;;0.0;;29;;22;;;;100.39;;;;-33;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 03:00;2017;2;1;03:00;-22.0;;-27.8;;59;;0.0;;30;;30;;;;100.39;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 04:00;2017;2;1;04:00;-21.7;;-27.7;;58;;0.0;;29;;34;;;;100.40;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 05:00;2017;2;1;05:00;-21.8;;-27.6;;59;;0.0;;29;;29;;;;100.40;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 06:00;2017;2;1;06:00;-21.8;;-27.9;;58;;0.0;;29;;17;;;;100.46;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 07:00;2017;2;1;07:00;-21.7;;-27.9;;57;;0.0;;29;;31;;;;100.50;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 08:00;2017;2;1;08:00;-21.7;;-27.7;;58;;0.0;;29;;22;;;;100.58;;;;-33;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 09:00;2017;2;1;09:00;-24.1;;-29.2;;63;;0.0;;25;;7;;;;100.61;;;;-30;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 10:00;2017;2;1;10:00;-21.4;;-27.4;;58;;0.0;;29;;23;;;;100.62;;;;-33;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 11:00;2017;2;1;11:00;-22.4;;-28.3;;58;;0.0;;9;;6;;;;100.64;;;;-28;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 12:00;2017;2;1;12:00;-24.9;;-29.6;;65;;0.0;;15;;7;;;;100.69;;;;-31;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 13:00;2017;2;1;13:00;-24.5;;-29.1;;66;;0.0;;16;;8;;;;100.71;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 14:00;2017;2;1;14:00;-20.2;;-27.2;;54;;0.0;;29;;19;;;;100.73;;;;-30;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 15:00;2017;2;1;15:00;-22.0;;-27.8;;59;;0.0;;14;;8;;;;100.78;;;;-29;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 16:00;2017;2;1;16:00;-18.4;;-25.3;;54;;0.0;;25;;3;;;;100.76;;;;-21;;NA
-61.68;56.55;NAIN;8502799;2017-02-01 17:00;2017;2;1;17:00;-18.5;;-25.4;;54;;0.0;;15;;3;;;;100.77;;;;-21;;NA
