Longitude (x);Latitude (y);Station Name;Climate ID;Date/Time (UTC);Year;Month;Day;Time (UTC);Temp (C);Temp Flag;Dew Point Temp (C);Dew Point Temp Flag;Rel Hum (%);Rel Hum Flag;Precip. Amount (mm);Precip. Amount Flag;Wind Dir (10s deg);Wind Dir Flag;Wind Spd (km/h);Wind Spd Flag;Visibility (km);Visibility Flag;Stn Press (kPa);Stn Press Flag;Hmdx;Hmdx Flag;Wind Chill;Wind Chill Flag;Weather
-61.68;56.55;NAIN;8502799;2017-04-01 00:00;2017;4;1;00:00;-4.3;;-14.5;;45;;0.0;;6;;2;;;;102.23;;;;-5;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 01:00;2017;4;1;01:00;-6.8;;-14.7;;53;;0.0;;26;;3;;;;102.23;;;;-8;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 02:00;2017;4;1;02:00;-8.3;;-15.0;;58;;0.0;;33;;7;;;;102.24;;;;-12;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 03:00;2017;4;1;03:00;-4.2;;-16.0;;39;;0.0;;31;;10;;;;102.22;;;;-8;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 04:00;2017;4;1;04:00;-10.2;;-15.8;;63;;0.0;;16;;4;;;;102.25;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 05:00;2017;4;1;05:00;-10.8;;-16.1;;65;;0.0;;1;;6;;;;102.29;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 06:00;2017;4;1;06:00;-10.3;;-15.4;;66;;0.0;;32;;1;;;;102.33;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 07:00;2017;4;1;07:00;-10.4;;-14.9;;70;;0.0;;0;;1;;;;102.39;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 08:00;2017;4;1;08:00;-10.7;;-14.5;;74;;0.0;;1;;2;;;;102.43;;;;-12;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 09:00;2017;4;1;09:00;-11.7;;-14.9;;77;;0.0;;32;;4;;;;102.46;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 10:00;2017;4;1;10:00;-12.4;;-15.7;;76;;0.0;;31;;6;;;;102.50;;;;-16;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 11:00;2017;4;1;11:00;-10.5;;-14.0;;75;;0.0;;31;;4;;;;102.53;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 12:00;2017;4;1;12:00;-10.3;;-13.7;;76;;0.0;;2;;2;;;;102.53;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 13:00;2017;4;1;13:00;-8.8;;-12.3;;76;;0.0;;7;;5;;;;102.51;;;;-12;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 14:00;2017;4;1;14:00;-7.6;;-11.5;;74;;0.0;;7;;3;;;;102.48;;;;-9;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 15:00;2017;4;1;15:00;-7.1;;-11.6;;70;;0.0;;8;;8;;;;102.44;;;;-11;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 16:00;2017;4;1;16:00;-7.1;;-11.2;;72;;0.0;;8;;14;;;;102.37;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 17:00;2017;4;1;17:00;-6.5;;-11.0;;70;;0.0;;8;;13;;;;102.30;;;;-12;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 18:00;2017;4;1;18:00;-6.7;;-10.8;;73;;0.0;;8;;14;;;;102.25;;;;-12;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 19:00;2017;4;1;19:00;-6.7;;-10.2;;76;;0.0;;9;;18;;;;102.18;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 20:00;2017;4;1;20:00;-7.2;;-10.3;;79;;0.0;;8;;21;;;;102.13;;;;-15;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 21:00;2017;4;1;21:00;-7.5;;-10.6;;79;;0.0;;8;;18;;;;102.10;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 22:00;2017;4;1;22:00;-8.7;;-11.1;;83;;0.0;;8;;17;;;;102.09;;;;-16;;NA
-61.68;56.55;NAIN;8502799;2017-04-01 23:00;2017;4;1;23:00;-9.7;;-11.9;;84;;0.0;;9;;19;;;;102.07;;;;-17;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 00:00;2017;4;2;00:00;-10.1;;-12.0;;86;;0.0;;8;;14;;;;102.07;;;;-17;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 01:00;2017;4;2;01:00;-10.2;;-12.3;;85;;0.0;;5;;7;;;;102.03;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 02:00;2017;4;2;02:00;-10.6;;-12.7;;84;;0.0;;5;;5;;;;101.99;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 03:00;2017;4;2;03:00;-11.0;;-13.1;;85;;0.0;;32;;4;;;;101.92;;;;-13;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 04:00;2017;4;2;04:00;-11.2;;-13.2;;85;;0.0;;32;;6;;;;101.87;;;;-15;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 05:00;2017;4;2;05:00;-12.3;;-14.0;;88;;0.0;;32;;4;;;;101.83;;;;-15;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 06:00;2017;4;2;06:00;-11.2;;-12.8;;88;;0.0;;30;;4;;;;101.80;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 07:00;2017;4;2;07:00;-11.2;;-12.7;;89;;0.0;;35;;4;;;;101.77;;;;-14;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 08:00;2017;4;2;08:00;-11.6;;-13.1;;89;;0.0;;33;;11;;;;101.74;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 09:00;2017;4;2;09:00;-11.5;;-12.9;;89;;0.0;;32;;7;;;;101.71;;;;-16;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 10:00;2017;4;2;10:00;-11.9;;-13.4;;89;;0.0;;34;;10;;;;101.71;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 11:00;2017;4;2;11:00;-11.9;;-13.4;;89;;0.0;;1;;10;;;;101.72;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 12:00;2017;4;2;12:00;-11.7;;-13.4;;87;;0.0;;4;;10;;;;101.70;;;;-17;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 13:00;2017;4;2;13:00;-11.5;;-13.5;;85;;0.0;;7;;18;;;;101.71;;;;-19;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 14:00;2017;4;2;14:00;-11.0;;-13.5;;82;;0.0;;7;;17;;;;101.71;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 15:00;2017;4;2;15:00;-10.6;;-13.1;;81;;0.0;;8;;19;;;;101.69;;;;-18;;NA
-61.68;56.55;NAIN;8502799;2017-04-02 16:00;2017;4;2;16:00;-10.3;;-13.1;;80;;0.0;;8;;16;;;;101.68;;;;-17;;NA
