Longitude (x);Latitude (y);Station Name;Climate ID;Date/Time (UTC);Year;Month;Day;Time (UTC);Temp (C);Temp Flag;Dew Point Temp (C);Dew Point Temp Flag;Rel Hum (%);Rel Hum Flag;Precip. Amount (mm);Precip. Amount Flag;Wind Dir (10s deg);Wind Dir Flag;Wind Spd (km/h);Wind Spd Flag;Visibility (km);Visibility Flag;Stn Press (kPa);Stn Press Flag;Hmdx;Hmdx Flag;Wind Chill;Wind Chill Flag;Weather
-61.68;56.55;NAIN;8502799;2017-03-01 00:00;2017;3;1;00:00;-15.3;;-22.0;;57;;0.0;;27;;40;;;;101.03;;;;-28;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 01:00;2017;3;1;01:00;-15.7;;-22.0;;58;;0.0;;27;;34;;;;101.11;;;;-28;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 02:00;2017;3;1;02:00;-15.1;;-21.5;;58;;0.0;;28;;17;;;;101.07;;;;-24;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 03:00;2017;3;1;03:00;-14.7;;-21.6;;56;;0.0;;28;;34;;;;101.06;;;;-26;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 04:00;2017;3;1;04:00;-15.1;;-21.7;;57;;0.0;;30;;25;;;;101.04;;;;-25;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 05:00;2017;3;1;05:00;-16.7;;-22.3;;62;;0.0;;25;;4;;;;101.04;;;;-20;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 06:00;2017;3;1;06:00;-18.0;;-22.8;;66;;0.0;;25;;4;;;;101.00;;;;-21;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 07:00;2017;3;1;07:00;-18.7;;-22.9;;69;;0.0;;21;;10;;;;100.94;;;;-26;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 08:00;2017;3;1;08:00;-18.1;;-22.7;;67;;0.0;;29;;3;;;;100.89;;;;-21;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 09:00;2017;3;1;09:00;-19.7;;-23.8;;70;;0.0;;4;;5;;;;100.84;;;;-24;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 10:00;2017;3;1;10:00;-18.9;;-22.8;;71;;0.0;;23;;4;;;;100.82;;;;-22;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 11:00;2017;3;1;11:00;-18.9;;-21.6;;79;;0.2;;2;;3;;;;100.78;;;;-21;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 12:00;2017;3;1;12:00;-18.8;;-21.1;;82;;0.2;;19;;8;;;;100.79;;;;-25;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 13:00;2017;3;1;13:00;-17.6;;-20.3;;80;;0.2;;19;;4;;;;100.77;;;;-21;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 14:00;2017;3;1;14:00;-17.0;;-19.8;;79;;0.0;;28;;17;;;;100.81;;;;-26;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 15:00;2017;3;1;15:00;-15.6;;-19.0;;75;;0.0;;30;;36;;;;100.83;;;;-28;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 16:00;2017;3;1;16:00;-15.1;;-19.6;;68;;0.0;;30;;38;;;;100.85;;;;-27;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 17:00;2017;3;1;17:00;-15.0;;-21.3;;58;;0.0;;29;;35;;;;100.88;;;;-27;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 18:00;2017;3;1;18:00;-15.5;;-22.5;;55;;0.0;;29;;37;;;;100.93;;;;-28;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 19:00;2017;3;1;19:00;-15.6;;-22.9;;53;;0.0;;29;;34;;;;101.05;;;;-27;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 20:00;2017;3;1;20:00;-16.3;;-24.2;;51;;0.0;;30;;27;;;;101.12;;;;-27;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 21:00;2017;3;1;21:00;-18.2;;-25.3;;53;;0.0;;29;;40;;;;101.14;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 22:00;2017;3;1;22:00;-19.2;;-26.0;;55;;0.2;;29;;43;;;;101.15;;;;-33;;NA
-61.68;56.55;NAIN;8502799;2017-03-01 23:00;2017;3;1;23:00;-20.3;;-26.6;;57;;0.0;;29;;41;;;;101.19;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 00:00;2017;3;2;00:00;-20.9;;-27.2;;57;;0.0;;29;;35;;;;101.19;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 01:00;2017;3;2;01:00;-21.5;;-28.1;;55;;0.0;;29;;39;;;;101.18;;;;-36;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 02:00;2017;3;2;02:00;-21.9;;-28.7;;54;;0.0;;29;;34;;;;101.15;;;;-36;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 03:00;2017;3;2;03:00;-21.8;;-28.7;;54;;0.0;;28;;22;;;;101.14;;;;-33;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 04:00;2017;3;2;04:00;-22.5;;-29.2;;54;;0.0;;28;;26;;;;101.12;;;;-35;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 05:00;2017;3;2;05:00;-23.6;;-29.7;;58;;0.0;;25;;10;;;;101.14;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 06:00;2017;3;2;06:00;-22.5;;-29.2;;54;;0.0;;27;;22;;;;101.11;;;;-34;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 07:00;2017;3;2;07:00;-23.5;;-29.0;;61;;0.0;;25;;11;;;;101.18;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 08:00;2017;3;2;08:00;-22.6;;-28.5;;59;;0.0;;28;;15;;;;101.19;;;;-32;;NA
-61.68;56.55;NAIN;8502799;2017-03-02 09:00;2017;3;2;09:00;-22.6;;-28.7;;57;;0.0;;29;;19;;;;101.15;;;;-33;;NA
